ID Cliente,Abandono,Género,Mayor de 65 años,Tiene Pareja,Tiene Dependientes,Duración del Contrato (meses),Servicio Telefónico,Múltiples Líneas,Servicio de Internet,Seguridad en Línea,Respaldo en Línea,Protección del Dispositivo,Soporte Técnico,TV por Cable,Streaming de Películas,Tipo de Contrato,Facturación Sin Papel,Método de Pago,Costo Mensual,Costo Total,Costo Diario,Rango de Contrato,Cantidad de Servicios Contratados
0002-ORFBO,0,F,False,1,1,9,1,0,DSL,0,1,0,1,1,0,Anual,1,Cheque por Correo,65.6,593.3,2.19,0-10,3
0003-MKNFE,0,M,False,0,0,9,1,1,DSL,0,0,0,0,0,1,Mensual,0,Cheque por Correo,59.9,542.4,2.0,0-10,2
0004-TLHLJ,1,M,False,0,0,4,1,0,Fibra Óptica,0,0,1,0,0,0,Mensual,1,Cheque electrónico,73.9,280.85,2.46,0-10,1
0011-IGKFF,1,M,True,1,0,13,1,0,Fibra Óptica,0,1,1,0,1,1,Mensual,1,Cheque electrónico,98.0,1237.85,3.27,11-20,4
0013-EXCHZ,1,F,True,1,0,3,1,0,Fibra Óptica,0,0,0,1,1,0,Mensual,1,Cheque por Correo,83.9,267.4,2.8,0-10,2
0013-MHZWF,0,F,False,0,1,9,1,0,DSL,0,0,0,1,1,1,Mensual,1,Tarjeta de crédito (automático),69.4,571.45,2.31,0-10,3
0013-SMEOE,0,F,True,1,0,71,1,0,Fibra Óptica,1,1,1,1,1,1,Bianual,1,Transferencia bancaria (automático),109.7,7904.25,3.66,71+,6
0014-BMAQU,0,M,False,1,0,63,1,1,Fibra Óptica,1,0,0,1,0,0,Bianual,1,Tarjeta de crédito (automático),84.65,5377.8,2.82,61-70,3
0015-UOCOJ,0,F,True,0,0,7,1,0,DSL,1,0,0,0,0,0,Mensual,1,Cheque electrónico,48.2,340.35,1.61,0-10,1
0016-QLJIS,0,F,False,1,1,65,1,1,DSL,1,1,1,1,1,1,Bianual,1,Cheque por Correo,90.45,5957.9,3.02,61-70,7
0017-DINOC,0,M,False,0,0,54,0,-1,DSL,1,0,0,1,1,0,Bianual,0,Tarjeta de crédito (automático),45.2,2460.55,1.51,51-60,3
0017-IUDMW,0,F,False,1,1,72,1,1,Fibra Óptica,1,1,1,1,1,1,Bianual,1,Tarjeta de crédito (automático),116.8,8456.75,3.89,71+,7
0018-NYROU,0,F,False,1,0,5,1,0,Fibra Óptica,0,0,0,0,0,0,Mensual,1,Cheque electrónico,68.95,351.5,2.3,0-10,0
0019-EFAEP,0,F,False,0,0,72,1,1,Fibra Óptica,1,1,1,0,1,0,Bianual,1,Transferencia bancaria (automático),101.3,7261.25,3.38,71+,5
